exchange_rate_date,GBP
2016-12-30,0.852543
2016-12-31,0.852543
2017-01-01,0.853943
2017-01-02,0.851889
2017-01-03,0.851082
2017-01-04,0.851785
2017-01-05,0.854015
2017-01-06,0.857159
2017-01-07,0.857159
2017-01-08,0.859278
2017-01-09,0.870035
2017-01-10,0.867173
2017-01-11,0.867699
2017-01-12,0.872804
2017-01-13,0.873843
2017-01-14,0.873843
2017-01-15,0.883195
2017-01-16,0.881254
2017-01-17,0.863452
2017-01-18,0.867175
2017-01-19,0.864274
2017-01-20,0.865284
2017-01-21,0.865284
2017-01-22,0.865004
2017-01-23,0.859759
2017-01-24,0.856475
2017-01-25,0.851212
2017-01-26,0.848305
2017-01-27,0.852763
2017-01-28,0.852763
2017-01-29,0.851074
2017-01-30,0.856646
2017-01-31,0.858333
2017-02-01,0.85073
2017-02-02,0.859724
