exchange_rate_date,GBP
2021-10-01,0.856009
2021-10-02,0.856072
2021-10-03,0.855416
2021-10-04,0.853743
2021-10-05,0.85091
2021-10-06,0.85016
2021-10-07,0.848917
2021-10-08,0.850192
2021-10-09,0.850285
2021-10-10,0.849449
2021-10-11,0.850088
2021-10-12,0.849366
2021-10-13,0.848518
2021-10-14,0.84798
2021-10-15,0.843756
2021-10-16,0.843879
2021-10-17,0.842742
2021-10-18,0.845426
2021-10-19,0.843371
2021-10-20,0.843173
2021-10-21,0.842766
2021-10-22,0.846548
2021-10-23,0.846394
2021-10-24,0.845777
2021-10-25,0.843357
2021-10-26,0.842393
2021-10-27,0.844714
2021-10-28,0.846631
2021-10-29,0.844796
2021-10-30,0.844796
2021-10-31,0.844717
2021-11-01,0.84941
2021-11-02,0.850336
2021-11-03,0.848123
2021-11-04,0.855404
2021-11-05,0.85556
2021-11-06,0.855877
2021-11-07,0.857617
2021-11-08,0.854413
2021-11-09,0.855045
2021-11-10,0.856339
2021-11-11,0.856577
2021-11-12,0.853661
2021-11-13,0.853007
2021-11-14,0.852997
2021-11-15,0.847745
2021-11-16,0.843032
2021-11-17,0.839138
2021-11-18,0.842194
2021-11-19,0.838881
2021-11-20,0.838993
2021-11-21,0.839315
2021-11-22,0.839087
2021-11-23,0.840639
2021-11-24,0.840424
2021-11-25,0.841978
2021-11-26,0.848309
2021-11-27,0.848309
2021-11-28,0.846444
2021-11-29,0.84797
2021-11-30,0.852185
2021-12-01,0.852413
