order_id,created_date,total_paid_GBP,order_state,total_paid_EUR,product_quantity,sku,name
245595,2017-01-21,112.97,Completed,98.0,2.0,PAC1561,"Macally External Hard Drive 1TB 35 ""USB 3.0 SATA Plata"
274166,2017-01-21,170.99,Completed,148.0,1.0,OWC0179,OWC USB-C Dock USB 3.1 / HDMI / Audio / GigaEthernet Gray
311502,2017-01-21,34.97,Completed,30.0,1.0,APP0927,EarPods Apple Headphones with Remote and Mic (OEM)
311502,2017-01-21,34.97,Completed,30.0,2.0,APP0698,Apple Lightning Cable Connector to USB 1m White (OEM)
311524,2017-01-21,622.99,Completed,539.0,1.0,APP0909,Apple Mac mini Core i5 14GHz | 8GB RAM | 500GB HDD
311653,2017-01-21,157.98,Completed,137.0,1.0,SAM0073,Samsung 850 EVO SSD Disk 250GB
311653,2017-01-21,157.98,Completed,137.0,1.0,OWC0041,Mac OWC Memory 4GB DDR3 1066MHZ SO-DIMM
311712,2017-01-21,164.98,Completed,143.0,1.0,NEA0009,Netatmo home thermostat for iPhone and iPad
312319,2017-01-21,68.97,Completed,60.0,1.0,DLK0012,D-Link DUB-H7 Hub 7 x Hi-Speed ​​USB Mac and PC
312319,2017-01-21,68.97,Completed,60.0,1.0,OWC0007,OWC Data Doubler Optical Bay adapter Macbook / Macbook Pro
312447,2017-01-21,104.97,Completed,91.0,1.0,LEX0034,Lexar JumpDrive Lightning USB 3.0 C20i Pendrive 64GB
312447,2017-01-21,104.97,Completed,91.0,1.0,HTE0008,Hyper Pearl 3000mAh USB Battery mirror and Gold
312502,2017-01-21,749.99,Completed,649.0,1.0,OWC0184,SSD expansion kit OWC Aura Pro 6G 1TB Pro Retina MacBook / MacBook Air 2013 to 2015
312653,2017-01-21,28.83,Completed,25.0,1.0,GRT0425,Griffin Magnetic BreakSafe-C USB charging cable 18m
312760,2017-01-21,137.98,Completed,119.0,1.0,CRU0043-2,Crucial memory Mac 16GB (2x8GB) SO-DIMM DDR3 1867MHZ
312761,2017-01-21,59.98,Completed,52.0,1.0,APP1687,Apple iPhone Leather Case Cover 7 Brown Candy
312770,2017-01-21,69.98,Completed,61.0,1.0,APP0703,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17"" (OEM)"
312772,2017-01-21,107.98,Completed,93.0,1.0,TOS0022,"Toshiba Canvio Basic 25 ""3TB USB 3.0 Black"
312791,2017-01-21,63.98,Completed,55.0,1.0,APP0484,Apple Digital AV Adapter to Lightning
312794,2017-01-21,2529.89,Completed,2189.0,1.0,PAC1197,"Apple iMac 27 ""Core i5 3.2GHz Retina 5K | 32GB | 500GB SSD"
312794,2017-01-21,2529.89,Completed,2189.0,1.0,TRA0034,Transcend External DVD Recorder White
312805,2017-01-21,24.98,Completed,22.0,1.0,OWC0060,Mac OWC Memory 2GB 667MHz DDR2 SO-DIMM
312806,2017-01-21,40.98,Completed,35.0,1.0,SAN0099,SanDisk Connect Wireless Flash Drive 64GB Wireless Black / Gold
312812,2017-01-21,227.97,Completed,197.0,1.0,CRU0051,Crucial MX300 525GB SSD Disk
312812,2017-01-21,227.97,Completed,197.0,1.0,CRU0016-2,Crucial memory Mac 8GB (2x4GB) SO-DIMM DDR3 1066MHz
312830,2017-01-21,64.99,Completed,56.0,1.0,SAN0134,Sandisk iXpand Lightning to USB 3.0 64GB
312831,2017-01-21,99.99,Completed,87.0,1.0,SAN0135,Sandisk iXpand Lightning to USB 3.0 128GB
312847,2017-01-21,1193.99,Completed,1033.0,1.0,APP1195,"Apple iMac 215 ""Core i5 16GHz | 8GB | 1TB HDD"
312851,2017-01-21,253.37,Completed,219.0,1.0,DLL0014-A,"Open - Dell S2715H Monitor 27 ""FHD IPS HDMI VGA"
312852,2017-01-21,41.98,Completed,36.0,1.0,WAC0040,Wacom Bamboo Wireless Kit / Intuos graphics tablet accessory kit 5
312856,2017-01-21,249.92,Completed,216.0,1.0,SEA0080-A,"Open - Seagate 8TB Archive 35 ""SATA III hard drive Mac and PC"
312870,2017-01-21,233.96,Completed,202.0,1.0,CRU0016-2,Crucial memory Mac 8GB (2x4GB) SO-DIMM DDR3 1066MHz
312870,2017-01-21,233.96,Completed,202.0,1.0,OWC0013,OWC Kit of 5 tools for Mac and PC
312870,2017-01-21,233.96,Completed,202.0,1.0,CRU0051,Crucial MX300 525GB SSD Disk
312884,2017-01-21,85.98,Completed,74.0,1.0,SAN0170,Sandisk Ultra Memory Card microSDXC 200GB Class 10 UHS-I up to 90MB / s
312886,2017-01-21,90.48,Completed,78.0,1.0,STA0041,Startech USB Hub-C or VGA to HDMI 4K USB 3.0 and Gigabit Ethernet
312892,2017-01-21,53.98,Completed,47.0,1.0,ZAG0028,"Zagg keyboard Messenger Case iPad Air / Air 2 / iPad Pro 97 ""Black"
312902,2017-01-21,59.98,Completed,52.0,1.0,APP1190,IPhone AppleCare Protection Plan
312908,2017-01-21,23.98,Completed,21.0,1.0,NTE0056,NewerTech Complete set of 14 tools
312911,2017-01-21,239.95,Completed,208.0,1.0,SEA0107,"Seagate 1TB hard drive Firecuda 25 ""SSHD SATA3 7mm"
312911,2017-01-21,239.95,Completed,208.0,1.0,SEA0106,"Seagate 2TB hard disk Firecuda 25 ""SSHD 7mm SATA 3"
312911,2017-01-21,239.95,Completed,208.0,2.0,TRA0040,"Transcend StoreJet outer box 25 ""Aluminum"
312917,2017-01-21,79.96,Completed,69.0,1.0,SAT0041,Satechi USB Hub 3-port Ethernet Aluminum +
312917,2017-01-21,79.96,Completed,69.0,1.0,SAT0046,Satechi Macbook Aluminum Gold Support
312917,2017-01-21,79.96,Completed,69.0,1.0,SAT0044,Satechi Aluminum Gold Mouse
312928,2017-01-21,182.98,Completed,158.0,1.0,DLL0018,"Monitor Dell S2415H 238 ""FHD IPS HDMI VGA"
312936,2017-01-21,74.98,Completed,65.0,1.0,LIF0118,LifeProof Fre Submersible Case Black iPhone 7 Plus
312940,2017-01-21,16.89,Completed,15.0,2.0,WAC0179,Wacom parts 5 points for CTH670
312944,2017-01-21,579.99,Completed,502.0,1.0,LGE0044,"LG 27UD88-W Monitor 27 ""UHD 4K USB 3.0 USB-C"
312950,2017-01-21,153.28,Completed,133.0,1.0,APP1920,Apple USB Power Adapter 61 W-C
312950,2017-01-21,153.28,Completed,133.0,1.0,APP1047,Apple charging cable 2m USB-C
312950,2017-01-21,153.28,Completed,133.0,1.0,KUA0021,Kukaclip car + Support iPhone 6 Plus Case Black
312950,2017-01-21,153.28,Completed,133.0,1.0,RAI0015,Rain Design MTower support MacBook Air / Pro
312951,2017-01-21,469.0,Completed,406.0,1.0,APP1735,Apple Watch 42mm Aluminum Case Series 2 Space Gray and Black Belt Sport
312954,2017-01-21,13.3,Completed,12.0,1.0,DLK0069-A,Open - D-Link GO-SW-8E 8-port Ethernet Switch
312957,2017-01-21,164.95,Completed,143.0,4.0,STM0085,Dux STM rigid Case Black iPad Air 2
312958,2017-01-21,99.98,Completed,87.0,1.0,NTE0020,"NewerTech NuPower battery MacBook Pro 15 ""(Late 2008 - Early 2009)"
312965,2017-01-21,83.98,Completed,73.0,1.0,THU0013,"Thule Crossover 25L Backpack MacBook Pro 15 ""Black"
312966,2017-01-21,87.34,Completed,76.0,1.0,WDT0134-A,"Open - Western Digital Network PC and Mac 2TB NAS 35 ""hard drive"
312974,2017-01-21,881.97,Completed,763.0,1.0,SNN0035,"Sonnet Tempo Pro Plus SSD 6Gb / s SATA DUAL 25 ""SSD PCIe 2.0 controller"
312974,2017-01-21,881.97,Completed,763.0,2.0,CRU0053,Disk 1TB SSD Crucial MX300
312975,2017-01-21,27.64,Completed,24.0,1.0,TUC0253,"Tucano Nido Hard-Shell Case MacBook Air 13 ""Transparent"
312985,2017-01-21,59.98,Completed,52.0,1.0,WAC0171,Education - Wacom Intuos graphics tablet with pen Draw S White
312986,2017-01-21,3836.99,Completed,3320.0,1.0,APP1876,"Apple MacBook Pro 15 ""Core i7 Touch Bar 29GHz | 16GB RAM | 1TB PCIe SSD | 460 4GB Radeon Pro Space Gray"
312997,2017-01-21,22.98,Completed,20.0,1.0,IFX0021,Battery Kit complete change iFixit iPhone 4S Battery
312999,2017-01-21,116.98,Completed,101.0,1.0,WDT0238,Western Digital Elements Desktop USB 3.0 Hard Disk 3TB
313012,2017-01-21,1636.04,Completed,1416.0,1.0,APP1043,Apple USB-C Multiport Digital AV Adapter
313012,2017-01-21,1636.04,Completed,1416.0,1.0,APP1810,"Apple MacBook Pro 13 ""Core i5 2GHz | 8GB RAM | 256GB PCIe SSD Gray Space"
313015,2017-01-21,39.18,Completed,34.0,1.0,ELG0028-A,Open - Elgato Avea Smart Bulb
313018,2017-01-21,443.97,Completed,384.0,1.0,QNA0203,QNAP TS-431P NAS
313018,2017-01-21,443.97,Completed,384.0,2.0,WDT0140,"Red 2TB WD 35 ""Mac PC hard drive and NAS"
313020,2017-01-21,23.51,Completed,20.0,1.0,GRT0448,Griffin Survivor iPhone Case Journey 8 Plus / 7 Plus / 6s Plus / 6 Plus Black / Blue
313026,2017-01-21,550.95,Completed,477.0,1.0,SEA0101,Seagate Backup Plus Ultra Slim Hard Drive 2TB USB 3.0 Plata
313026,2017-01-21,550.95,Completed,477.0,1.0,APP1749,Apple iPad Air 2 Wi-Fi 32GB Silver
313026,2017-01-21,550.95,Completed,477.0,1.0,LOG0107,Logitech M187 Wireless Mouse White
313026,2017-01-21,550.95,Completed,477.0,2.0,APP0698,Apple Lightning Cable Connector to USB 1m White (OEM)
313027,2017-01-21,15.98,Completed,14.0,1.0,MUV0184,Muvit iPhone Folio 7 / 6s / 6 Gold Pink / Transparent
313040,2017-01-21,530.97,Completed,459.0,1.0,PAC1490,"Samsung SSD 850 expansion kit 1TB iMac EVO 215 ""2012-2015"
313040,2017-01-21,530.97,Completed,459.0,2.0,OWC0046,Mac OWC Memory 8GB 1600MHZ DDR3 SO-DIMM
313041,2017-01-21,25.04,Completed,22.0,1.0,GRT0425,Griffin Magnetic BreakSafe-C USB charging cable 18m
313046,2017-01-21,87.98,Completed,76.0,1.0,PEB0009,Pebble Smartwatch Time Black
245941,2017-01-01,183.52,Completed,157.0,,,
287780,2017-01-01,94.23,Completed,80.0,,,
293308,2017-01-01,2635.47,Completed,2251.0,1.0,HGD0007,"Henge Docks Docking Station MacBook Pro 13 """
295347,2017-01-01,72.19,Completed,62.0,1.0,APP0700,"Apple 85W MagSafe 2 charger MacBook Pro screen Retina 15 ""(OEM)"
296502,2017-01-01,71.57,Completed,61.0,1.0,BEL0242,MIXIT Belkin Charging Dock and iPhone support Lightning Rosa
296502,2017-01-01,71.57,Completed,61.0,1.0,GRT0444,Griffin Survivor iPhone Case Summit 7 Black / Clear / Black
297148,2017-01-01,4069.54,Completed,3475.0,1.0,APP0407,Apple USB SuperDrive (June 2012 Model)
297809,2017-01-01,18.23,Completed,16.0,1.0,IFX0016,iFixit Heavy Duty Suction Cups Pack 2 suction cups for iMac
298391,2017-01-01,2919.98,Completed,2493.0,1.0,PAC1594,"Apple iMac 27 ""Core i5 3.2GHz Retina 5K | 32GB RAM | 1TB SSD | AMD Radeon R9 M390"
298391,2017-01-01,2919.98,Completed,2493.0,1.0,APP0662,IMac AppleCare Protection Plan
298634,2017-01-01,72.54,Completed,62.0,,,
298878,2017-01-01,62.98,Completed,54.0,,,
298921,2017-01-01,73.48,Completed,63.0,,,
299404,2017-01-01,415.11,Completed,354.0,1.0,NTE0013,"AdaptaDrive NewerTech adapter 2.5 ""to 3.5"" SATA"
299404,2017-01-01,415.11,Completed,354.0,1.0,OWC0100,OWC In-line Digital Temperature Sensor Kit HDD iMac 2011
299404,2017-01-01,415.11,Completed,354.0,1.0,SAM0075,Samsung 850 EVO SSD Disk 1TB
299404,2017-01-01,415.11,Completed,354.0,1.0,KIN0156,Mac memory Kingston 4GB SO-DIMM DDR3åÊ1333MhzåÊ
299466,2017-01-01,1758.0,Completed,1501.0,2.0,APP1648,Apple iPhone 7 128GB Black
299545,2017-01-01,51.48,Completed,44.0,1.0,OWC0100,OWC In-line Digital Temperature Sensor Kit HDD iMac 2011
299546,2017-01-01,18.99,Completed,16.0,1.0,IOT0014,iOttie Easy View 2 Car Black Support
299556,2017-01-01,65.89,Completed,56.0,1.0,CRU0039-A,(Open) Crucial 240GB SSD 7mm BX200
299561,2017-01-01,154.48,Completed,132.0,1.0,PEB0015,Pebble Smartwatch Time Steel Black
299563,2017-01-01,263.48,Completed,225.0,1.0,BEA0065,Solo3 Beats Headphones Wireless On-Ear Rose Gold
299564,2017-01-01,23.98,Completed,20.0,1.0,SAT0010,Satechi Aluminum Silver Mouse
299571,2017-01-01,323.22,Completed,276.0,1.0,SYN0139,Synology DS216j NAS Server Mac and PC
299571,2017-01-01,323.22,Completed,276.0,1.0,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS"
299578,2017-01-01,142.49,Completed,122.0,1.0,LOG0191,Ultimate Ears Boom 2 Bluetooth Portable Speaker Black / Gray
299579,2017-01-01,134.07,Completed,114.0,1.0,LGE0031-A,"Open - LG Monitor 24 ""W 5ms HDMI 24MP58VQ-White"
299586,2017-01-01,47.98,Completed,41.0,1.0,GRT0456,Griffin iTrip Aux Lightning
299597,2017-01-01,149.48,Completed,128.0,1.0,PEB0015,Pebble Smartwatch Time Steel Black
299600,2017-01-01,4607.62,Completed,3935.0,1.0,APP0410,Apple Thunderbolt to FireWire 800 adapter
299600,2017-01-01,4607.62,Completed,3935.0,1.0,LAC0205,LaCie d2 Hard Drive 3TB Thunderbolt 2 USB 3.0
299600,2017-01-01,4607.62,Completed,3935.0,1.0,DLK0078,D-Link DGS-1008D Gigabit Switch 8 ports
299600,2017-01-01,4607.62,Completed,3935.0,1.0,PAC0492,Apple Mac Pro Quad-Core 37GHz | 64 GB RAM | 1TB Flash
299600,2017-01-01,4607.62,Completed,3935.0,2.0,BEL0229,Belkin Mini DisplayPort to DVI Adapter
299608,2017-01-01,71.48,Completed,61.0,1.0,ICA0079,"Incase Reform Tensaerlite case for MacBook 13 ""Gray"
299609,2017-01-01,474.05,Completed,405.0,1.0,PAR0071,Parrot Bebop 2 White + Command FLYPAD and FPV Glasses
299610,2017-01-01,152.97,Completed,131.0,1.0,APP0023,Apple Mac Keyboard Keypad Spanish
299610,2017-01-01,152.97,Completed,131.0,1.0,APP1214,Apple Magic Mouse 2
299623,2017-01-01,41.04,Completed,35.0,1.0,OBL0007,Tapp Oblumi Intelligent thermometer App
299634,2017-01-01,825.51,Completed,705.0,1.0,SYN0146,Synology NAS Server DS416Play Mac and PC
299634,2017-01-01,825.51,Completed,705.0,3.0,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS"
299637,2017-01-01,57.18,Completed,49.0,1.0,TOS0007,"Toshiba 1TB 25 ""SATA 5400rpm hard drive Mac and PC"
299638,2017-01-01,380.22,Completed,325.0,1.0,SYN0127,
299638,2017-01-01,380.22,Completed,325.0,1.0,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS"
299648,2017-01-01,360.29,Completed,308.0,1.0,PAC1381,Pack QNAP TS-228 | WD 6TB Network
299655,2017-01-01,203.62,Completed,174.0,1.0,WAC0191,Education - Wacom Intuos Comic M Black
299655,2017-01-01,203.62,Completed,174.0,1.0,WAC0040,Wacom Bamboo Wireless Kit / Intuos graphics tablet accessory kit 5
299659,2017-01-01,79.98,Completed,68.0,1.0,THU0013,"Thule Crossover 25L Backpack MacBook Pro 15 ""Black"
299664,2017-01-01,1351.99,Completed,1155.0,1.0,APP0958,"Apple MacBook Pro Retina 13 ""i5 27 Ghz | 8GB RAM | 128GB Flash"
299667,2017-01-01,99.98,Completed,85.0,1.0,WIT0024,Withings Activite POP Blue Clock
